"Data Source","World Development Indicators",

"Last Updated Date","2023-06-29",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Aruba","ABW","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","798246.454045","802147.1728","807606.061306","819207.32697","840714.61409","866585.784268","884404.767499","908989.150778","947451.819476","934027.009654","936733.642312","975817.760057","1022654.885109","1062715.693142","1105457.222981","1132622.365732","1133480.604883","1197721.01028","1257408.971715","1239747.20567","1296316.122926","1299170.768058","1308707.977083","1331479.401125","1358902.154959","1356434.329261","1370883.205748","1386782.252953","1399770.836953","1430850.662142","1389908.120222","","",
"Afghanistan","AFG","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11630.79506","11899.99328","11548.26269","11678.75561","11733.04832","12181.31843","13231.10066","14216.88009","15063.73502","15980.73034","14205.32527","12604.75975","15255.39353","15961.0327","15572.01238","16635.76076","17264.16633","18218.84691","21349.18799","24313.53007","28585.90265","32446.46096","30928.57237","30430.30008","31165.8158","31619.07371","30864.98363","31750.55044","32580.49106","32736.76917","31119.04539","","",
"Africa Western and Central","AFW","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","415342.674031","452297.707134","475060.055368","475571.070041","532821.336895","542161.041683","575614.109947","578782.063761","575384.951436","570526.330225","593150.734615","594930.55147","581223.139454","620126.510381","628678.068591","651416.467304","643168.796801","636457.782401","647346.304343","637877.440356","681727.059768","700647.916965","711773.66187","738287.609974","758995.190518","768884.626243","799141.75294","808226.501123","834128.685418","862224.588584","868687.389867","","",
"Angola","AGO","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","43185.60921","43616.83929","44440.62308","47376.69587","50331.52915","53476.45354","54939.69209","55825.86603","60109.53708","59029.60883","57982.70087","58084.77197","60758.93298","66179.73478","67964.75818","67766.24188","66733.4014","71292.13462","73853.17674","74968.24456","78893.67568","80306.80869","78561.5615","82325.9083","83628.13621","88673.04141","86726.86873","82023.70755","74848.14556","78672.38408","70781.0562","","",
"Albania","ALB","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11181.07427","8824.705329","6777.74169","6747.458751","7560.565213","7404.398074","7120.070576","6373.574877","6621.280379","7836.93328","8163.977582","8122.836896","8759.443411","9167.315225","9246.27134","9016.941954","8920.780645","8990.758036","8733.156627","8799.864918","9243.210309","9623.607956","9070.545303","9298.28975","9738.800297","9408.765344","9191.743023","9924.274102","9671.388481","9196.36286","8304.29494","","",
"Andorra","AND","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","430.703269","432.465582","434.227895","439.654209","437.752522","457.834835","493.417862","510.680888","542.599915","570.854941","588.117968","592.750006","604.710044","613.006082","643.28612","662.574159","637.875045","635.159931","639.772817","622.401703","627.01459","602.068676","599.106762","588.816848","574.862934","579.22902","585.850664","585.144308","617.413952","605.715596","577.573639","","",
"Arab World","ARB","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1107753.826964","1110186.732837","1181224.89715","1264039.162228","1331980.766448","1372366.898457","1417724.255253","1478325.9583","1504728.790527","1527294.211545","1595174.281021","1640455.502931","1679138.396809","1733860.310189","1808842.049099","1907632.579418","1984733.64946","2045283.070675","2166799.311373","2207438.473562","2312532.758666","2341738.993746","2505861.686146","2532017.582496","2591474.945166","2650881.335466","2702527.723386","2746774.251884","2756539.763102","2796418.0348","2682355.871188","","",
"United Arab Emirates","ARE","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","78601.83891","87044.84577","85014.50232","89207.16657","97918.57123","102898.948","107322.8889","110645.3782","112802.5869","114109.4404","114700.9448","128615.323","130406.6674","138690.3398","146808.3748","156119.516","163492.149","174308.626","200149.8201","199977.5026","207638.5913","215072.184","226415.7061","238373.2846","240979.5629","253027.5119","260390.6675","251238.4239","234348.9903","248670.7959","249927.7494","","",
"Argentina","ARG","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","249188.7612","253691.6131","258597.7407","259460.8354","263189.7417","266004.086","275749.709","280720.3822","286322.0268","292407.6634","294271.3913","288040.6186","284403.3884","306433.5855","322315.2629","325978.7317","340578.7653","352851.0732","357380.4391","336630.902","342496.5143","352870.3484","357872.7655","366978.6016","365636.2677","372415.2067","375694.4541","379420.2746","378187.3624","374523.504","361433.0173","","",
